0,1,2,3
31.88,70.36,1006.2,57.51
3.38,41.31,998.79,97.76
4.88,40.27,1012.66,74.51
33.24,74.34,1002.58,45.05
27.06,43.77,1011.02,42.61
20.45,48.41,1010.81,86.7
8.84,42.49,1010.28,89.09
9.72,41.44,1015.17,84.41
27.82,79.74,1008.37,69.46
11.82,41.26,1020.74,91.14
25.34,64.27,1013.38,66.02
16.92,44.6,1017.34,58.75
30.8,70.94,1007.06,63.09
12.75,39.58,1010.8,77.31
3.26,41.31,996.32,100.0
25.56,75.6,1017.37,69.31
26.12,75.6,1017.41,72.31
8.27,38.56,1016.47,66.6
8.01,41.66,1014.49,76.72
29.53,72.39,998.47,76.05
26.71,76.86,1002.86,74.5
7.16,38.56,1019.17,70.1
10.74,40.92,1021.74,94.97
11.72,40.92,1023.35,88.55
20.74,59.8,1015.46,76.39
25.77,69.04,1009.66,65.49
20.19,66.86,1012.97,64.7
14.62,43.99,1023.6,86.7
15.24,37.87,1020.52,84.49
24.43,47.45,1007.68,65.18
31.18,69.04,1008.19,49.72
31.9,69.4,1003.4,57.76
5.41,40.07,1019.16,64.77
32.32,76.09,1006.63,62.96
29.35,69.04,1008.55,61.78
29.78,73.42,1011.27,52.79
24.6,48.78,1018.1,73.71
15.0,41.17,1015.57,64.82
30.74,79.05,1005.78,73.19
5.98,41.31,1001.66,89.5
27.39,67.07,1006.17,58.2
8.36,40.67,1014.99,73.65
4.96,40.07,1011.8,67.38
25.91,75.6,1018.23,62.65
22.28,59.92,1009.36,95.38
34.48,74.34,1000.91,42.61
7.0,41.55,1001.43,97.12
7.28,40.67,1020.16,72.7
7.87,42.85,1012.18,94.21
5.37,40.07,1012.75,63.58
23.64,71.25,1004.92,93.87
31.94,74.99,1002.05,34.12
32.31,62.04,1010.45,38.01
24.73,48.6,1004.03,63.37
26.8,58.84,1001.2,65.03
7.01,40.72,1024.0,86.37
25.86,59.92,1009.92,73.95
16.01,49.64,1026.35,77.75
10.79,43.56,1015.15,73.01
24.66,58.86,1013.86,56.39
14.8,40.2,1012.87,88.35
8.95,43.56,1015.04,81.53
26.3,77.95,1009.45,78.72
13.62,42.34,1017.87,89.67
31.61,75.08,1004.83,42.29
7.55,42.85,1011.21,93.25
18.73,40.12,1013.19,74.12
7.71,38.06,1021.0,83.47
10.6,40.22,1011.37,85.81
26.53,69.71,1009.88,76.26
33.37,79.05,1007.19,62.64
19.75,49.02,1009.38,92.89
29.0,75.33,1001.6,71.43
10.29,40.56,1017.28,69.13
15.5,49.25,1021.41,77.92
9.31,43.56,1015.09,79.96
13.15,40.78,1024.13,79.59
21.71,60.27,1015.74,89.76
30.98,69.82,1009.17,50.63
24.8,61.02,1009.86,71.75
5.54,41.38,1020.47,82.91
13.46,39.85,1012.76,72.94
21.83,63.87,1018.93,63.07
26.72,67.79,1010.35,63.31
21.86,64.45,1015.83,63.36
14.17,42.99,1007.38,78.88
23.75,67.9,1006.25,70.17
29.6,67.79,1010.37,51.05
29.18,71.43,1011.65,59.49
31.53,74.99,1003.93,58.29
5.15,40.07,1012.27,63.31
9.42,41.4,1029.21,86.4
28.32,71.64,1004.73,72.71
30.26,76.2,1008.44,62.1
24.62,68.31,1010.45,75.18
28.41,74.16,1010.29,72.09
15.61,38.52,1018.4,80.99
8.18,43.69,1017.16,88.16
7.69,36.24,1013.08,88.37
32.16,71.32,1005.5,60.23
14.18,39.3,1020.1,67.48
34.14,74.34,1000.19,43.56
29.29,70.02,1010.13,46.93
5.7,40.35,1012.18,91.57
31.97,69.04,1008.5,47.69
8.42,42.28,1008.4,87.78
32.81,75.08,1005.09,42.0
34.35,77.17,1009.26,59.33
30.36,74.87,1008.96,61.87
28.54,76.86,1000.09,74.67
30.2,74.34,1004.17,74.77
7.87,41.17,1020.33,77.77
6.17,40.07,1013.7,58.99
4.15,39.9,1007.62,95.69
6.5,38.5,1013.92,90.1
26.6,61.41,1012.35,54.42
33.37,71.37,1003.75,45.26
29.1,76.2,1006.28,60.22
27.47,70.72,1009.97,74.62
15.37,43.34,1014.84,80.37
8.28,40.77,1011.55,89.79
19.64,56.53,1019.6,76.19
28.61,72.29,1011.61,45.33
22.76,49.02,1007.5,88.56
5.91,39.33,1010.18,95.53
25.3,58.46,1015.91,69.71
8.46,39.66,1015.14,85.38
30.36,69.82,1010.02,54.22
31.01,69.04,1009.14,52.81
32.81,71.32,1007.69,47.29
29.22,75.23,1010.49,48.73
6.81,38.56,1016.5,70.99
14.69,49.64,1023.43,78.17
15.29,25.88,1009.21,66.0
17.07,44.9,1020.74,70.18
10.94,43.67,1012.36,73.3
24.97,68.61,1011.0,55.04
32.49,74.99,1002.19,34.58
30.61,68.84,1011.18,52.5
30.82,76.2,1007.47,59.3
9.33,39.96,1024.55,98.58
10.39,40.22,1004.95,91.65
31.18,70.36,1006.38,56.74
18.94,48.7,1008.5,94.83
8.52,41.55,1002.09,86.81
30.47,70.83,1010.91,46.94
5.71,40.77,1022.51,89.58
7.61,44.71,1019.41,70.48
26.1,74.16,1009.42,85.4
13.83,38.73,999.62,91.95
13.56,39.58,1011.05,73.62
8.44,41.17,1019.9,70.72
26.91,71.64,1004.59,83.54
30.21,71.32,1006.19,67.57
24.25,74.93,1013.07,69.31
10.07,39.66,1015.37,83.78
29.45,74.16,1010.49,64.87
29.28,65.71,1013.76,48.05
7.89,71.14,1018.4,86.49
23.68,59.27,1010.75,83.82
32.95,75.08,1005.32,47.7
13.41,45.0,1021.65,45.24
37.11,68.94,1006.23,31.15
31.53,70.36,1006.29,57.11
9.42,41.4,1030.38,87.8
31.11,71.8,1010.81,56.08
13.83,40.78,1024.85,73.08
32.06,75.33,1001.96,63.15
31.48,69.75,1008.9,45.66
13.42,40.78,1025.03,77.51
9.73,41.01,1021.76,97.71
5.25,40.07,1019.48,67.7
25.6,63.9,1013.16,53.19
14.78,38.58,1017.02,82.4
9.78,40.03,1017.33,92.11
23.27,67.9,1006.17,71.01
10.87,44.71,1021.38,58.22
9.84,40.22,1009.5,85.38
9.8,41.82,1032.98,67.55
19.77,49.39,1019.02,91.03
33.43,69.88,1006.86,44.84
29.03,67.79,1010.67,55.42
28.57,69.34,1007.98,65.55
18.77,58.66,1010.34,87.25
21.11,58.12,1015.38,77.78
26.91,74.99,1005.64,78.98
32.77,72.86,1003.6,52.87
8.19,41.66,1016.57,75.38
15.62,40.89,1007.01,79.21
28.86,73.4,1011.37,58.76
30.53,73.21,1000.37,74.17
8.21,38.91,1015.82,88.99
21.61,49.39,1019.41,78.2
27.32,76.09,1007.77,74.64
28.44,77.54,1011.73,77.3
6.38,40.07,1018.53,60.2
12.82,38.62,1018.71,83.8
13.44,41.14,1026.41,77.26
29.42,71.32,1002.26,67.13
26.33,60.06,1005.86,41.57
31.96,71.29,1008.39,47.51
5.1,35.57,1027.17,80.49
7.87,43.02,1014.67,83.58
31.79,76.2,1007.89,56.3
21.36,58.95,1018.35,78.87
8.79,40.67,1019.5,66.3
5.57,42.85,1013.55,92.14
13.95,40.2,1013.18,90.77
17.7,38.52,1020.15,69.8
7.94,40.6,1015.3,92.14
9.6,41.82,1032.93,72.63
31.59,43.5,1005.12,43.5
14.26,44.47,1028.81,72.19
6.12,40.81,1014.77,88.15
14.68,41.23,998.43,83.71
5.62,41.31,1001.37,89.16
21.55,60.27,1017.42,92.59
9.49,40.69,1015.09,91.31
20.65,66.51,1014.94,71.83
7.92,42.28,1008.55,81.68
33.79,69.05,1001.62,40.13
9.14,40.6,1015.34,88.91
12.93,39.58,1010.93,75.9
31.11,74.87,1009.11,54.86
16.51,51.86,1022.37,81.18
23.43,71.97,1009.42,94.27
5.21,41.31,1003.51,91.23
32.09,72.86,1003.47,54.59
6.72,38.91,1016.89,90.47
32.91,73.56,1007.02,55.03
12.82,41.58,1020.37,81.06
33.75,64.96,1002.54,39.28
29.87,73.91,1004.53,74.3
23.84,59.87,1019.11,59.59
28.14,76.86,1000.7,70.17
27.38,59.21,1012.74,53.53
11.91,40.69,1014.41,83.71
23.65,59.92,1010.19,89.53
9.26,40.78,1023.61,88.48
21.89,58.05,1011.31,85.71
29.19,65.71,1013.85,50.5
7.91,38.56,1016.48,68.94
10.39,40.22,1009.77,83.27
32.14,68.31,1010.48,42.15
21.42,56.89,1014.39,84.05
29.03,67.79,1010.86,54.03
32.8,68.67,1005.27,44.53
27.44,74.9,1003.85,76.65
19.09,56.51,1015.58,92.56
14.79,41.04,1025.32,75.81
11.3,40.55,1005.97,97.99
20.55,68.63,1012.5,67.07
22.51,66.49,1014.59,63.03
20.56,64.45,1012.24,53.09
29.91,70.02,1010.18,64.1
34.4,77.95,1009.83,57.86
6.87,39.85,1012.66,83.34
17.27,43.52,1021.37,76.73
24.85,67.9,1005.9,64.55
31.46,71.8,1010.75,54.88
30.75,71.22,1006.47,48.06
28.61,70.36,1006.95,73.06
7.03,41.74,1021.92,86.44
13.15,41.14,1026.72,80.31
33.73,69.88,1007.21,42.93
30.17,76.86,998.23,73.61
4.84,38.5,1011.96,81.62
27.64,75.6,1017.35,54.78
26.82,75.08,1005.93,60.81
30.52,70.4,1003.9,64.33
25.27,67.07,1006.34,66.35
22.89,80.25,1006.38,80.25
8.51,40.81,1015.54,83.16
29.38,73.42,1011.49,54.96
15.56,41.04,1025.8,64.81
28.41,75.6,1018.48,56.07
30.15,72.51,1009.37,50.64
8.87,41.16,1023.17,94.13
6.86,41.17,1020.12,79.14
19.94,58.96,1014.16,66.27
13.42,41.23,994.17,95.79
30.39,70.98,1007.55,72.76
28.62,79.74,1008.12,65.39
10.38,40.92,1021.53,95.18
24.27,61.47,1007.84,80.85
30.24,73.9,1006.74,56.39
26.05,73.88,1005.67,82.08
12.02,41.92,1030.1,84.45
30.13,68.94,1005.88,40.71
7.97,38.5,1013.84,72.36
8.85,40.22,1008.61,90.6
13.56,42.34,1017.95,93.83
12.62,40.92,1021.85,81.41
30.68,71.8,1010.81,61.4
11.02,40.71,1020.3,86.64
27.92,63.07,1010.75,45.26
17.54,42.42,1008.97,67.67
27.88,75.23,1011.33,58.91
33.97,72.29,1008.98,44.32
23.66,67.17,1007.24,87.56
34.33,69.05,1000.89,37.9
13.45,41.16,1022.04,82.96
15.64,43.71,1024.51,78.31
16.11,44.92,1025.37,79.85
32.13,74.34,1003.34,56.39
32.74,68.31,1010.23,41.29
30.24,69.88,1007.9,61.46
31.74,79.74,1007.07,61.47
11.02,43.02,1012.32,66.54
23.0,66.05,1020.61,80.29
29.23,75.6,1017.72,52.26
9.7,40.11,1026.61,75.48
14.71,44.0,1024.98,85.08
7.04,41.74,1021.91,88.55
6.4,41.17,1019.54,85.37
6.86,42.49,1007.95,93.96
10.56,41.54,1019.92,78.95
8.3,43.13,1020.02,83.11
10.32,40.35,1011.64,84.05
32.36,73.91,1003.88,59.84
4.73,41.31,999.77,93.44
13.48,41.92,1030.2,65.96
7.19,40.81,1015.22,85.65
32.69,72.86,1003.57,56.84
13.11,38.73,1005.89,89.02
6.18,41.55,1001.58,98.79
25.88,61.47,1007.93,68.71
13.74,43.71,1025.45,86.62
32.73,69.88,1007.86,46.95
12.57,41.66,1009.11,70.74
6.1,39.33,1010.4,95.34
33.87,71.32,1007.91,39.48
30.47,77.3,1002.13,63.7
11.48,42.02,1000.29,94.76
12.07,41.17,1013.54,71.32
29.5,72.86,1004.63,52.17
32.48,69.75,1009.05,40.47
10.06,42.02,999.37,98.65
21.89,74.93,1016.11,77.88
30.57,69.71,1008.94,59.99
27.99,66.91,1008.47,59.63
30.68,71.25,999.98,68.99
15.64,44.21,1020.17,83.28
22.89,62.39,1007.84,88.16
28.01,64.69,1007.61,58.45
8.34,40.77,1010.84,90.01
28.69,58.33,1013.67,34.1
23.3,48.78,1018.17,75.36
7.48,38.5,1014.01,77.35
12.02,43.69,1016.12,74.07
24.36,68.61,1010.27,63.78
4.31,38.5,1011.75,82.08
29.35,68.31,1010.46,46.2
13.52,42.07,1017.91,90.21
28.19,71.97,1008.85,84.67
28.44,74.93,1013.88,52.0
6.92,41.26,1011.16,96.2
22.19,60.37,1008.45,92.43
30.54,69.14,1007.25,70.46
28.37,71.64,1007.39,71.06
8.53,40.02,1031.27,85.57
19.64,44.6,1015.88,47.56
23.34,59.14,1017.47,78.91
14.75,40.66,1016.7,81.65
14.02,42.86,1030.86,68.36
28.82,71.8,1010.97,67.64
31.44,72.86,1003.74,61.45
19.92,38.52,1018.15,60.68
5.85,41.55,1001.95,99.41
15.55,40.66,1016.21,88.5
30.93,70.83,1010.61,46.13
31.7,76.09,1007.06,72.39
32.57,78.92,1011.6,66.47
6.33,42.07,1004.25,77.1
10.24,41.58,1021.17,94.34
11.82,42.86,1014.12,88.28
29.09,70.98,1007.86,80.35
29.59,70.17,999.71,71.0
29.12,58.84,1001.31,52.86
5.11,42.07,1004.28,81.8
28.8,73.4,1011.34,54.01
26.33,64.45,1013.12,43.31
8.22,41.82,1032.77,71.63
20.57,60.1,1011.16,83.45
29.86,69.34,1009.61,61.27
25.4,65.34,1013.11,53.93
30.08,73.42,1011.17,63.86
32.83,74.16,1007.57,60.2
29.33,64.84,1010.76,53.32
29.27,64.69,1006.85,55.79
26.23,70.72,1009.73,73.44
33.63,70.4,1004.02,53.6
24.17,48.78,1018.08,75.14
27.16,66.44,1011.2,73.37
27.89,73.21,1001.32,85.88
16.64,45.87,1009.02,98.86
12.03,40.75,1015.93,85.07
10.07,40.92,1021.43,97.15
15.0,40.66,1016.28,89.62
14.01,39.0,1016.73,79.23
30.82,70.36,1006.47,58.79
25.8,65.38,1009.3,52.28
30.64,74.87,1009.44,59.01
25.28,67.69,1009.05,68.54
27.77,63.87,1017.97,38.77
9.28,40.22,1009.23,88.43
28.83,71.32,1006.28,75.65
23.57,67.9,1006.08,70.12
6.44,39.33,1011.8,93.5
31.27,73.77,1003.27,71.48
12.71,43.02,1012.25,62.68
5.11,39.4,1012.16,92.14
11.82,41.17,1019.5,55.74
33.08,69.75,1009.03,43.69
8.23,43.79,1016.11,82.11
5.82,40.78,1024.82,96.01
32.5,71.37,1003.75,43.8
13.47,41.14,1026.09,82.96
28.15,74.9,1003.67,76.32
6.58,40.67,1020.18,71.07
8.82,43.56,1014.95,81.54
28.02,63.9,1013.96,46.2
26.02,68.67,1006.73,75.19
20.32,49.16,1007.47,91.12
33.92,77.95,1010.15,58.89
15.01,42.77,1018.21,73.22
29.91,76.86,998.59,72.41
26.08,76.86,1003.3,79.49
6.75,39.9,1008.3,87.42
16.22,50.88,1014.33,100.09
6.25,40.07,1020.19,65.24
21.06,62.91,1011.92,75.52
18.2,39.63,1005.35,79.05
8.83,41.14,1025.37,94.36
15.38,43.99,1022.42,83.41
10.62,39.64,1010.51,68.55
24.01,67.17,1007.44,86.87
32.98,71.32,1003.67,49.78
9.56,41.55,1002.67,70.27
23.56,60.77,1017.93,76.34
11.58,40.66,1017.0,97.13
30.31,70.36,1006.55,59.92
6.93,40.67,1020.17,71.16
8.2,41.14,1025.24,96.26
29.0,69.68,1012.78,66.09
20.34,46.63,1013.16,79.08
26.84,70.36,1007.41,71.47
29.11,74.78,1009.6,56.93
21.93,58.96,1014.23,58.58
18.21,62.26,1011.97,87.28
10.59,25.36,1009.59,100.16
24.78,68.63,1013.96,43.7
29.27,66.85,1011.11,63.25
27.78,68.67,1005.59,59.17
28.42,73.5,1011.23,72.79
29.82,43.21,1011.52,63.54
8.62,39.54,1011.64,82.86
10.06,34.69,1027.9,71.73
9.13,40.02,1031.08,74.76
29.97,67.9,1006.09,61.6
32.82,68.31,1010.44,41.85
7.64,41.17,1020.01,75.14
26.88,74.78,1010.42,64.81
32.22,70.8,1009.9,62.03
27.24,68.08,1013.23,51.96
5.52,39.33,1009.74,95.25
30.56,72.39,999.96,69.81
29.91,74.9,1003.36,69.34
10.61,41.58,1021.08,93.06
19.94,50.78,1008.78,92.07
13.25,34.03,1018.94,72.1
9.46,42.28,1008.67,78.16
27.25,73.03,1014.15,68.52
26.46,61.41,1012.41,56.58
28.94,71.64,1006.59,69.24
26.91,70.02,1010.75,59.48
28.51,70.02,1010.58,54.68
11.48,41.2,1012.88,90.04
32.17,73.21,1001.43,69.86
15.6,41.04,1025.48,64.43
24.49,68.61,1010.56,64.03
5.97,40.35,1012.3,94.1
5.73,40.35,1012.24,91.84
30.67,77.95,1015.28,61.67
5.84,43.02,1013.88,87.42
23.94,63.21,1013.52,83.12
15.62,41.76,1023.82,66.17
31.18,74.34,1003.81,63.59
27.51,73.77,1002.42,90.88
32.42,65.74,1010.97,52.73
20.46,51.43,1007.31,93.25
17.66,60.08,1017.22,86.96
13.48,39.85,1012.71,58.91
27.97,68.31,1010.64,55.91
14.55,40.73,1018.36,89.12
30.35,71.32,1009.17,64.61
13.23,42.34,1018.02,97.49
30.16,73.17,1010.74,58.99
27.18,61.41,1012.17,46.11
32.43,68.31,1010.09,42.22
28.16,61.47,1009.19,62.53
3.68,39.64,1011.31,84.05
25.38,70.94,1007.87,73.59
3.99,39.64,1011.53,83.58
23.48,66.49,1014.41,62.61
16.98,43.99,1021.65,81.17
25.69,64.45,1013.05,42.0
27.37,70.72,1009.77,67.87
3.99,39.9,1009.74,96.81
27.98,74.78,1009.46,63.11
8.94,43.13,1014.82,76.66
31.26,70.36,1006.49,60.47
16.0,40.66,1016.12,89.23
19.08,46.93,1010.6,75.21
24.51,51.95,1005.57,63.53
28.95,73.4,1011.33,55.14
7.41,39.16,1015.23,90.66
29.64,67.79,1009.99,51.23
6.33,39.33,1012.06,93.16
20.94,44.78,1008.14,35.7
29.52,75.33,1002.62,70.64
32.16,66.25,1008.17,56.88
8.49,43.69,1016.93,85.63
24.86,65.34,1012.99,60.33
14.31,42.86,1031.14,69.6
26.62,70.36,1005.15,84.99
31.19,70.94,1007.29,51.91
10.82,42.02,996.03,99.34
15.68,43.7,1015.09,58.96
9.51,43.79,1016.02,79.81
3.21,38.44,1016.9,86.34
17.33,53.16,1013.16,82.93
5.94,39.9,1007.84,86.33
26.71,70.72,1010.3,78.18
26.94,62.91,1011.68,41.3
11.74,40.71,1020.64,82.15
29.79,62.66,1008.5,48.51
6.86,38.08,1019.62,77.37
33.67,80.18,1010.83,60.87
28.04,69.14,1007.16,80.38
28.51,76.09,1007.88,78.2
21.87,66.86,1013.01,57.39
6.94,38.91,1018.94,90.64
15.34,40.73,1018.03,86.19
13.69,34.03,1018.45,65.76
10.73,25.36,1009.35,100.15
27.47,66.86,1006.1,70.2
31.92,75.33,1002.13,65.73
16.84,39.63,1004.67,82.98
9.96,39.66,1015.23,82.98
8.95,43.13,1017.56,94.85
20.04,49.39,1020.62,78.84
15.69,39.3,1019.03,60.57
26.96,72.86,1004.86,59.17
31.41,74.16,1011.1,57.05
31.84,71.37,1003.51,46.22
13.74,42.74,1029.54,70.0
27.24,77.17,1009.37,81.51
8.42,43.14,1011.62,80.32
32.41,72.86,1003.69,58.04
9.44,39.82,1013.26,91.55
10.82,39.96,1025.53,95.89
9.27,40.22,1008.1,89.24
18.56,42.28,1007.75,60.89
21.08,46.93,1014.49,63.33
32.87,71.32,1004.36,54.69
22.33,45.87,1007.8,63.61
31.04,74.67,1015.85,43.32
22.19,48.78,1017.84,76.01
17.85,48.14,1017.16,86.68
5.43,39.9,1007.5,86.27
14.36,41.26,1021.16,73.43
10.39,44.85,1014.22,78.42
28.09,77.95,1017.07,70.98
28.98,73.42,1011.25,72.9
14.46,42.86,1031.34,69.84
5.71,41.31,1003.24,89.48
13.73,41.92,1031.01,64.92
31.67,69.68,1012.38,46.52
8.9,36.24,1013.29,89.35
17.23,40.12,1013.52,81.55
11.39,40.27,1009.04,73.13
23.7,64.45,1012.87,38.24
7.51,43.02,1014.35,86.46
14.34,42.86,1031.75,66.81
9.39,40.11,1029.14,77.29
19.34,64.79,1018.03,84.77
14.1,41.16,1021.26,73.87
9.55,39.66,1018.8,74.88
6.65,38.5,1014.01,87.6
28.84,75.6,1018.41,53.96
30.29,71.58,1010.01,54.03
26.81,74.9,1003.99,79.88
22.51,68.63,1015.1,57.19
28.07,61.47,1008.68,64.83
31.87,68.67,1005.64,48.85
25.68,67.79,1010.66,69.51
14.57,37.86,1022.44,68.82
14.02,44.47,1028.02,68.97
3.69,38.44,1016.74,82.87
27.99,71.64,1007.79,72.67
32.96,69.75,1008.86,40.23
25.95,63.47,1011.77,66.22
8.89,41.54,1019.27,82.87
13.66,40.55,1005.46,96.02
10.61,43.79,1016.03,76.33
6.67,39.33,1011.07,91.96
7.22,41.01,1025.19,97.27
29.42,74.9,1004.11,64.53
31.3,67.17,1007.27,62.99
31.63,70.17,999.4,59.94
19.41,49.39,1020.84,81.89
11.7,41.16,1019.58,87.49
14.17,42.86,1030.94,66.47
11.43,40.22,1010.84,81.04
24.78,58.46,1016.82,67.5
21.48,66.91,1008.58,84.49
16.77,38.01,1023.04,65.5
8.61,41.04,1024.81,95.6
13.42,40.35,1011.2,77.0
7.79,41.16,1023.17,97.11
29.79,77.17,1009.68,64.0
25.21,75.6,1017.19,69.84
28.66,74.93,1014.04,51.26
25.24,63.47,1011.3,66.21
23.94,59.39,1014.32,74.55
10.03,43.13,1014.85,70.09
33.11,77.54,1010.36,50.99
32.72,69.75,1009.6,49.35
31.41,76.09,1007.68,70.49
4.7,39.9,1007.45,91.02
10.48,40.22,1004.81,92.16
19.05,44.06,1017.02,73.76
13.75,44.47,1029.63,70.74
22.42,59.43,1007.12,90.56
10.31,40.67,1017.61,69.61
11.22,41.66,1008.96,72.38
31.98,70.17,999.43,59.42
10.35,40.27,1005.09,92.42
30.09,69.48,1009.51,53.24
20.73,59.87,1019.08,80.48
8.37,39.99,1010.36,93.26
7.0,38.5,1014.09,81.32
14.12,40.92,1022.46,73.28
27.44,58.9,1003.86,66.74
19.62,68.63,1012.26,68.05
8.03,40.07,1016.06,47.46
17.4,44.9,1020.5,77.11
31.38,71.32,1009.17,60.42
34.1,73.03,1014.01,41.26
11.46,38.91,1012.34,77.37
6.67,39.37,1019.99,75.61
22.58,52.3,1009.04,78.99
23.79,48.06,1012.92,60.03
32.48,69.89,1013.98,46.39
9.38,43.7,1015.45,90.47
29.08,67.79,1010.91,55.96
22.69,54.2,1012.92,65.55
10.31,45.01,1018.42,93.67
27.23,63.9,1014.3,47.19
10.42,44.85,1014.18,88.36
20.43,63.09,1016.46,91.78
11.54,40.77,1022.13,83.5
29.45,75.6,1018.12,50.68
26.89,56.85,1012.27,43.84
27.69,73.91,1005.23,75.71
28.75,64.84,1009.61,58.24
11.23,43.67,1012.57,72.1
12.75,39.85,1012.51,62.37
9.28,41.38,1021.96,72.22
31.27,69.13,1009.45,57.01
7.69,43.02,1014.51,85.23
16.22,37.87,1022.36,83.13
19.67,44.71,1015.46,31.46
9.27,39.64,1010.79,79.56
13.9,39.54,1007.01,81.33
25.47,65.34,1015.3,50.31
26.87,74.99,1002.48,71.91
16.52,44.88,1017.61,90.08
16.17,38.01,1022.19,70.99
34.76,68.94,1006.75,41.31
13.83,45.08,1024.2,80.52
29.31,64.84,1010.49,53.97
31.9,73.42,1010.82,60.58
29.6,69.82,1010.49,61.66
10.08,43.14,1010.67,85.9
22.72,64.15,1021.14,60.34
6.63,39.37,1020.33,76.18
30.01,62.34,1005.28,62.34
12.45,40.56,1017.84,66.52
21.11,58.66,1011.7,68.71
15.44,39.54,1007.49,82.14
10.39,40.22,1006.59,87.77
