AT,V,AP,RH,Y
27.62,68.27,1008.04,63.04,427.67
21.31,49.39,1020.18,71.35,455.34
16.22,41.35,1000.96,79.59,462.21
8.01,40.46,1019.42,76.15,475.42
10.48,41.93,1017.17,92.81,480.01
22.96,68.61,1011.15,76.62,447.18
21.84,64.69,1007.57,77.34,450.25
23.42,50.05,1006.79,86.45,441.8
18.32,66.51,1015.18,81.5,459.89
24.4,60.32,1016.5,70.96,447.73
29.41,64.05,1009.82,67.4,444.82
6.67,39.37,1020.31,73.56,488.13
33.12,68.31,1010.3,42.29,441.13
16.59,43.56,1012.88,59.61,465.03
5.98,38.91,1016.5,91.83,488.85
13.66,45,1021.97,79.04,473.12
17.62,43.52,1021.01,71.52,457.45
11.56,40.43,1025.48,74.75,489.54
12.59,39.18,1024.18,67.57,471.32
16.34,41.48,1015.92,48.24,453.6
12.28,42.34,1019.19,95.8,467.03
18.58,46.97,1014.25,74.09,454.26
13.56,40.75,1016.05,74.64,474.26
15.59,52.75,1024.3,59.93,458.87
23.75,60.29,1017.36,64.04,449.57
18.43,57.76,1016.13,87.34,452.65
19.36,44.6,1016.25,45.65,464.56
11.82,42.86,1014.12,88.28,476.7
25.88,63.73,1009.48,77.17,438.42
25.3,59.43,1009.15,58.3,442.5
30.68,69.68,1012.86,56.56,438.68
17.85,48.14,1017.16,86.68,451.9
9.09,41.92,1029.36,91,478.98
15.72,56.89,1013.35,85.06,456.33
16.82,45,1022.05,37.28,468.22
33.62,77.17,1009.38,63.71,431.03
25.04,63.86,1018.92,52.79,441.6
13.34,40.83,1008.09,85.85,471.82
31.25,69.51,1010.25,36.83,428.77
9.56,44.71,1021.13,64.6,487.92
9.37,40.11,1024.94,75.03,471.13
12.91,41.66,1013.37,71.52,469.71
25.02,59.44,1012.49,73.65,444.08
21.75,58.79,1012.42,87.58,447.58
7.69,38.06,1020.72,83.47,483.54
26.12,68.94,1007.12,67.08,434.11
27.51,71.32,1007.59,80.02,433.16
25.12,66.56,1009.22,65.62,436.56
22.71,59.43,1005.68,83.52,441.24
10.33,40.69,1014.25,84.46,480.18
22.89,80.25,1006.38,80.25,446.15
34.18,78.05,1010.71,66.77,432.1
14.16,44.58,1020.75,77.42,473.22
15.5,49.25,1021.41,77.92,453.99
32.02,67.83,1007.77,53.31,426.55
21.77,42.23,1013.03,67.44,462.51
13.5,44.92,1023.87,87.17,468.85
24.95,76.16,1006.2,76.16,437.47
15.66,43.99,1021.18,88.62,467.57
27.45,64.34,1007.12,65.87,440
23.54,67.83,1009.44,65.48,426.24
13.58,44.47,1029.91,70.41,467.15
24.88,63.91,1009.41,77.75,447.28
13.35,41.16,1011.32,89.12,474.57
12.36,41.74,1020.58,69.24,477.16
23.84,49.21,1013.35,45.4,446.54
32.07,70.94,1006.91,49.9,432.33
12.17,49.83,1008.05,96.44,469.52
13.57,41.4,1021.27,72.55,464.23
12.42,38.25,1012.76,82.23,472.3
21.27,57.5,1014.53,80.76,453.34
17.9,52.08,1006.41,100.09,451.94
14.84,38.91,1013.78,69.27,467.83
10.66,41.93,1016.12,94.16,479.61
20.27,56.65,1020.75,67.12,454.29
21.14,67.71,1006.38,56.78,445.12
27.41,63.07,1011.5,55.3,445.02
26.15,63.21,1012.31,76.44,441.23
22.79,69.13,1010.87,91.47,438.08
26.75,58.33,1013.55,45.47,444.09
14.22,42.32,1015.54,77.23,465
22.98,58.46,1016.06,72.69,445.05
11.95,39.82,1013.4,92.51,474.56
8.74,36.3,1015.18,61.97,438.63
15.69,41.93,1021.3,52.69,468.43
12.6,41.5,1013.07,86.22,472.45
24.18,66.48,1003.3,70.99,433.37
28.33,78.92,1011.15,70.04,432.67
24.26,69.51,1013.43,53.23,442.56
10.94,39.04,1021.62,86.41,479.8
15.59,52.05,1013.67,78.55,456.07
15.52,42.86,1015.09,83.48,467.12
8.01,40.62,1015.62,86.43,476.22
22.91,68.63,1014.92,55.82,448.01
15.7,42.99,1007.51,76.05,464.59
29.16,55.68,1004.84,55.68,435.04
13.58,40.75,1016.05,76.45,472.73
22.32,59.8,1016.82,64.18,451.21
20.58,50.78,1008.87,91.18,445.03
28.88,66.56,1006.26,59.15,426.66
27.78,60.07,1014.66,53.74,439.43
25.53,59.57,1010.65,82.04,445.59
13.11,38.73,1005.89,89.02,473.38
9.27,39.64,1010.79,79.56,480.29
20.1,59.87,1018.97,87.23,444.71
14.12,42.86,1011.84,88.29,471.86
9.44,41.79,1020.16,72.26,474.03
20.36,60.1,1011.21,84.79,454.25
5.02,40.64,1021.2,93.27,485.28
1.81,39.42,1026.92,76.97,490.55
16.11,44.92,1025.37,79.85,460.99
18.15,45.01,1013.06,72.4,455.21
21.48,47.43,1006.88,63.54,449.2
18.53,39.72,1001.26,64.08,457.26
14.14,39.59,1010.84,96.02,465.23
28.73,68.24,1008.31,56.85,430.63
25.31,65.48,1018.31,55.57,439.72
32.84,68.14,1003.59,43.88,425.18
28.11,66.17,1010.51,65.16,444.2
30.02,68.24,1009.8,65.73,429.5
21.08,63.13,1013.53,98,443.51
28.55,69.84,1003.38,67.26,432.7
18.48,50.16,1011.45,99.92,452.06
14.04,42.44,1012.74,81.89,471.81
23.56,73.18,1012.18,87.98,437.92
12.19,41.17,1019.43,65.47,475.64
21.95,68.63,1012.8,61.55,448.9
16.12,45.87,1008.15,86.12,457.41
21.52,50.66,1013.56,74.33,455.71
29.75,73.5,1011.13,67.31,433.63
31.82,71.29,1008.44,41.7,431.23
9.06,43.79,1016.05,81.32,482.8
23.24,45.01,1012.21,45.23,457.01
28.5,72.99,1007.02,67.13,433.24
24.54,58.66,1011.63,57.62,448.11
23.11,68.3,1017.83,86.62,437.91
14.87,41.76,1022.26,78.21,464.84
12.45,40.56,1017.84,66.52,477.41
12.51,49.83,1008.61,94.27,452.84
22.36,58.79,1011.77,87.51,446.49
15.94,44.85,1014.29,67.57,462.54
9.48,44.68,1023.29,92.9,478.66
33.59,79.05,1007.79,63.55,436.51
23.07,57.17,1009.84,76.8,444.08
30.05,56.9,1007.02,41.96,437.55
7.14,41.22,1016.6,97.09,435.58
6.02,43.65,1013.85,83.53,481.92
15.34,71.14,1019.79,77.56,457.1
6.85,37.49,1011.01,84.53,483.12
15.19,41.43,1011.34,89.67,470.41
27.88,68.94,1007.68,75.68,435.04
26.46,74.67,1016.65,84.44,431.65
11.08,38.16,1014.45,74.99,473.32
9.34,41.49,1020.58,97.59,471.04
27.99,71.64,1007.79,72.67,437.81
26.58,70.98,1008.96,77.36,434.41
25.34,65.61,1014.61,57.51,442.82
25.8,71.58,1010.08,85.14,435.2
14.87,38.28,1014.65,80.24,467.29
16.98,43.7,1015.07,53.51,464.01
26.89,49.16,1003.84,41.22,442.39
12.91,42.07,1018.4,86.5,466.05
8.81,43.56,1014.99,81.5,482.52
26.91,70.02,1010.75,59.48,445.31
10.02,39.66,1016.34,79.98,480.05
19.44,60.07,1014.8,69.06,452.89
7.24,41.17,1020.35,80.56,486.76
10.39,40.22,1009.77,83.27,478.58
24.62,58.66,1011.43,56.61,449.8
12.82,41.58,1020.37,81.06,464.07
16.53,46.18,1010.2,95.42,458.67
13.07,40.83,1010,84.84,471.19
18.8,39.72,1001.24,63.8,459.36
23.95,58.46,1017.5,68.46,440.75
13.69,34.03,1018.45,65.76,469.12
14.75,41.16,1009.58,86.96,468.14
24.51,51.86,1014.64,67.57,446.74
27.74,74.78,1010.05,60.82,436.87
23.81,46.93,1013.19,54.82,449.58
3,39.64,1011,80.14,485.2
10.15,41.17,1019.38,82.3,480.71
26.93,75.23,1010.19,62.12,434.1
8.22,41.03,1021.76,82.97,485.5
24.26,66.44,1011.33,55.32,445.63
13.73,41.78,1011.75,49.65,464.94
30.82,70.36,1006.47,58.79,439.16
13.74,39.35,1014.82,77.48,471.11
27.58,71.97,1008.51,87.99,430.53
17.55,43.14,1018.86,76,461.58
8.48,40.05,1015.89,90.25,483.5
25.45,57.32,1011.7,47.09,441.3
6.3,41.14,1027.45,86.11,481.49
21.97,68.12,1012.53,75.12,443.39
5.89,39.48,1005.11,59.83,484.91
31.8,69.05,1000.77,49.82,426.5
27.81,64.69,1006.59,71.75,437.02
24.26,56.57,1013.86,70.35,442.9
14.2,43.02,1012.18,57.07,470.67
30.46,66.75,1017.81,54.48,432.45
19.69,56.65,1020.77,62.83,456.29
8.77,40.46,1019.68,77.84,475
6.52,35.57,1025.37,78.32,486.06
19.79,64.45,1016.14,73.54,451.37
28.73,50.05,1005.79,52.4,436.35
29.08,70.83,1007.98,51.95,430.91
16.26,44.89,1010.48,86.57,456.86
21.32,45.01,1012.23,59.94,452.75
22.05,61.27,1019.6,58.83,447.95
14.49,41.16,1000.5,82.17,465.24
14.76,40.71,1017.37,71.07,465.58
24.81,63.94,1018.76,44.51,444.26
6.5,38.68,1017.8,62.9,483.72
10.02,42.44,1014.57,99.16,478.5
25.95,59.27,1010.9,70.42,444.19
13.42,40.35,1011.2,77,472.57
23.14,62.26,1011.87,66.44,444.38
21.84,59.39,1015.77,88.12,442.11
23.85,74.22,1009.99,82.72,441.66
25.8,65.38,1009.3,52.28,450.5
12.19,41.06,1021.35,74.98,474.63
12.11,41.17,1019.46,62.59,475.53
26.11,47.43,1009.01,56.09,445.36
3.96,35.47,1016.79,83.81,489.68
9.41,43.5,1021,88.74,473.84
11.52,40.75,1016.23,85.18,477.19
33.73,69.88,1007.21,42.93,434.83
27.38,74.16,1010.08,78.61,436.65
13.93,44.47,1025.35,81.54,469.25
21.19,42.48,1013.43,80.52,469.76
23.88,67.9,1005.99,67.58,446.34
27.24,68.08,1013.23,51.96,445.25
20.12,45.09,1013.73,57.78,448.35
28.3,64.33,1011.23,68.88,441.51
11.05,40.71,1024.91,76.42,479.59
9.59,38.91,1011.87,81.3,479.96
24.58,48.98,1014.96,38.75,459.79
21.01,58.96,1014.33,61.8,453.88
24.88,73.17,1012.26,84.96,434.85
27.19,64.96,1006.71,73.99,428.79
16.46,48.6,1006.08,89,449.58
14.32,44.6,1013.85,68.13,466.36
26.52,63.94,1018.23,42.41,440.47
22.2,59.21,1017.87,73.34,445.29
9.83,38.56,1017.35,62.8,480.47
25.62,63.13,1013.84,83.49,439.13
19.61,56.65,1020.64,63.74,457.41
15.3,43.34,1013.23,82.73,463.7
26.98,74.78,1009.77,69.54,442.28
17.94,37.2,1012.64,68.11,467.65
22.92,58.62,1016.37,71.38,447.48
18.53,61.27,1019.84,75.22,454.72
16.56,42.99,1007.48,74.45,464.62
10.47,41.06,1022.24,81.16,477.47
26.26,65.06,1013.58,52.72,440.92
18.35,57.76,1019.64,77.94,458.41
21.1,62.66,1011.19,83.49,448.8
8.11,42.18,1014.82,93.09,473.62
24.2,60.77,1016.92,71.65,439.13
22.92,60.37,1007.05,89.94,438.86
15.93,25.88,1009.45,72.83,462.7
26.13,73.21,1002.12,92.02,435.34
26.06,64.05,1012,84.05,442.24
25.9,47.45,1007.8,55.96,443.13
27.98,67.9,1006.3,73.53,436.08
30.15,72.51,1009.37,50.64,443.72
10.06,37.83,1005.49,99.46,473.51
11.72,39.18,1024.19,68.53,468.98
14.8,44.21,1021.59,89.24,466.21
29.64,69.51,1012.13,44.65,428.69
23.32,69.13,1010.75,91.84,435.27
23.68,51.3,1011.86,71.24,451.67
9.16,41.03,1021.3,76.08,484.96
22.83,58.62,1017.82,69.76,450.96
24.75,58.79,1009.87,71.97,444.79
6.03,41.17,1019.81,84.2,488.57
16.37,39.64,1009.19,76.92,463.91
23.19,48.6,1002.38,61.19,445.52
23.15,66.48,1003.71,76,435.62
25.32,48.41,1008.47,72.14,443.04
14.8,42.77,1019.14,76.53,462.29
29.16,73.17,1010.96,67.77,429.06
24.93,73.5,1011.28,83.09,437.35
23.44,62.52,1016.46,67.21,447.19
16.16,41.79,1007.53,76.21,453.39
21.64,50.32,1008.41,86.32,442.52
4.73,41.31,999.77,93.44,486.6
26.96,65.34,1015.05,46.93,441.81
17.94,63.07,1012.42,94.35,456.7
20.34,59.8,1015.18,80.21,453.54
23.15,58.79,1011.11,82.49,447.71
12.66,43.67,1012.49,95.96,472.44
18.4,40.79,1006.18,92.36,461.29
10.79,39.82,1012.89,88.25,479.92
28.9,60.07,1015.96,45.06,440.62
25.82,66.49,1013.2,60.32,434.35
17.99,50.59,1015.9,77.28,462.2
8.32,39.64,1010.93,78.21,479.69
13,39.85,1012.57,61.56,477.71
28.41,66.91,1008.22,57.93,440.52
11.51,41.06,1021.3,78.11,476.91
11.95,41.58,1015.83,89.35,464.57
24.26,42.8,1013.72,61.62,459.65
23.84,63.47,1012.54,76.33,444.48
22.35,65.61,1016.27,73.93,448.41
26.28,68.14,1005.61,53.17,435.71
8.99,36.66,1028.11,71.98,481.03
18.03,53.16,1013.1,81.42,457.73
9.14,40.6,1015.34,88.91,483.57
31.01,69.13,1000.93,62.96,425.69
14.05,39.59,1011.2,94.54,464.63
25.79,59.43,1008.61,64.3,435.51
33.94,74.67,1015.94,28.16,427.98
12.48,39.85,1012.93,60.23,477.17
29.59,70.17,999.71,71,434.85
7.55,41.04,1027.03,83.32,476.58
30.02,69.04,1009.68,56.01,440.49
16.82,47.45,1010.19,88.48,449.57
12.1,40.27,1005.53,68.37,477.61
27.14,75.23,1011.47,63.14,439.33
28.92,61.02,1011.19,56.13,436.76
26.88,74.78,1010.42,64.81,440.84
27.16,65.61,1014.21,47.93,441.33
21.87,66.86,1013.01,57.39,453.62
23.04,48.06,1014.16,54.99,459.36
12.56,41.4,1019.23,74.26,472.54
30.39,66.54,1002.7,59.15,428.89
16.03,41.23,996.35,82.04,464.67
11.18,39.61,1018.56,68,468.75
24.2,60.95,1014.82,59.42,448.43
20.73,59.87,1019.08,80.48,445.18
29.7,57.35,1005.63,57.35,433.27
6.29,43.65,1020.68,70.14,485.8
25.03,61.86,1012.84,80.85,439.55
32.51,73.56,1007.06,59.6,435.23
30.56,71.98,1004.74,58.77,429.2
22.49,62.52,1016.57,63.69,451.87
18.15,41.23,993.82,61.21,456.32
10.72,39.35,1015.35,86.43,480.18
24.63,59.57,1010.45,85.36,440.67
17.89,44.6,1014.48,42.51,463.99
25.87,67.79,1011.16,79.88,445.87
27.04,48.41,1008.57,60.73,441.21
11.22,43.13,1017.24,80.9,473.93
26.02,71.94,1009.38,64.12,435.21
31.08,59.57,1010.76,60.49,442.88
23.19,67.07,1005.67,65.19,442.45
29.55,72.29,1007.94,84.45,430.98
15.15,41.35,1006.3,86.16,468.64
15.52,41.93,1022.97,52.92,471.97
9.57,52.75,1022.32,75.4,470.93
11.82,41.74,1022.36,74.06,476.21
26.15,64.27,1013.03,59.77,439.11
14.79,38.73,999.83,86.45,470.28
16.23,43.69,1016.4,68.9,466.22
4.62,38.44,1016.09,73.14,486.84
23.43,60.32,1015.34,69.34,446.88
20.42,62.96,1020.34,84,452.08
16.14,44.21,1020.36,80.59,461.03
5.74,45.87,1011.44,95.94,482
24.44,52.84,1006.39,49.05,440.2
19.21,58.49,1011.7,91.29,452.82
6.03,41.17,1019.81,84.2,488.57
5.07,40.07,1019.32,66.17,494.87
28.63,66.56,1005.88,64.73,427.35
28.18,66.56,1005.69,65.67,426.79
22.29,45.01,1012.4,51.58,449.08
14.2,52.75,1025.64,61.02,465.48
17.75,42.24,1016.86,61.52,468.86
9.45,36.71,1024.24,83.28,476.02
24.42,57.32,1011.46,55.92,443.94
23.87,50.39,1012.96,76.05,452.59
18.91,59.21,1017.76,90.49,450.24
16.98,44.85,1015.48,51.77,464.27
29.12,66.51,1015.69,37.9,432.88
14.38,45.09,1012.95,86.1,464.27
29.51,75.6,1017.92,50.61,431.18
24.43,72.43,1008.03,85.56,434.71
31.85,73.21,1000.98,72.2,435.94
21.33,50.32,1008.58,85.3,442.44
22.4,70.94,1008.06,84.52,440.04
18.53,63.91,1010.26,97.8,440.64
27.46,67.69,1004.7,70.15,432.64
23.19,49.82,1014.59,70.52,451.08
14.71,44,1024.98,85.08,462.87
18.48,46.48,1007.53,82.57,461.49
16.58,41.93,1022.36,45.24,466.61
24.45,70.02,1010.75,71.37,445.8
3.21,38.44,1016.9,86.34,491.35
24.94,67.69,1008.86,68.97,439.08
11.36,41.48,1012.8,76.16,465.37
11.26,39.35,1015.47,99.28,471.83
23.89,64.27,1013.37,75.22,450.82
21.5,61.5,1008.43,78.13,447.83
23.01,58.79,1009.71,84.22,444.64
10.58,41.49,1020.43,91.9,473.19
18.68,43.69,1016.68,48.88,463.02
27.79,71.85,1008.95,87.35,427.67
15.55,40.66,1016.21,88.5,457.53
27.16,71.32,1007.81,89.07,430.53
25.42,69.71,1009.29,82.5,435.59
6.49,36.3,1016.52,69.1,483.43
10.67,42.02,996.55,99.94,472.65
8.49,36.25,1029.7,84.41,480.35
10.38,37.73,1021.5,75.02,475.02
21.91,58.62,1015.95,72.87,450.23
7.71,36.25,1027.92,89.84,481.74
25.94,60.75,1007.22,64.76,439.46
29.74,56.9,1007.15,41.91,438.76
28.21,70.02,1010.58,51.34,442.47
18.94,46.93,1010.22,75.45,441.41
26.6,63.07,1011.97,61.3,442.25
8.3,36.3,1015.97,60.62,480.58
15.86,43.5,1021.22,75.38,459.42
19.3,65.59,1014.07,81.98,452.76
9.26,40.11,1024.38,74.82,460.72
16.17,46.97,1014.22,85.8,456.08
10.03,41.79,1020.35,66.42,475.42
13.41,39.35,1015.1,79.32,471.85
25.26,52.3,1006.65,64.64,442.76
11.65,41.54,1020.09,67.96,476.4
25.24,67.45,1013.56,50.91,438.99
20.4,57.85,1011.14,92.47,450.07
12.59,40.03,1018.76,85.4,471.63
11.75,35.76,1018.99,57.92,473.01
17.82,65.94,1013.44,88.13,452.82
12.11,38.28,1013.56,93.21,469.93
22.96,45.01,1012.21,50.81,450.37
23.45,66.48,1003.66,75.83,435.13
25.89,48.41,1008.49,68.58,440.92
25.64,70.72,1010.16,84,441.68
21.83,62.91,1011.07,91.34,443.76
29.1,50.05,1005.87,51.53,438.66
10.04,39.13,1011.26,88.91,474.61
22.54,51.95,1007.29,79.28,447.29
9.13,40.02,1031.08,74.76,473.47
25.26,74.33,1014.79,79.56,433.49
8.85,40.43,1025.68,80.42,491.81
16.62,39.99,1007.07,77.14,463.74
8.07,43.41,1016.02,76.26,467.56
18.09,48.92,1010.6,52.11,455.07
19.36,68.61,1010.85,94.87,454.5
16.13,43.48,1014.41,50.05,459.47
15.17,36.71,1013.5,77.44,471.93
24.35,70.04,1010.92,73.88,438.4
13.56,40.8,1024.8,63.6,475.89
34.15,68.51,1010.75,37.02,430.19
8.26,40.96,1025.23,89.22,485.73
16.88,38.58,1014.72,73.99,462.7
11.9,39.16,1016.53,84.59,477.75
13.03,42.86,1014.39,86.25,475.03
19.46,46.33,1013.77,89.62,452.11
14.98,43.99,1022.66,83.34,462.32
14.7,48.6,1006.91,85.65,460.63
14.51,42.77,1017.47,81.95,463.37
13.48,39.85,1012.71,58.91,475.74
13.45,40.73,1018.7,93.88,461.03
15.03,44.45,1020.94,65.57,460.06
12.21,41.67,1012.88,85.19,475.07
25.13,57.69,1007.43,78.43,437.8
26.88,79.74,1006.54,93.7,434.77
15.55,42.03,1017.41,74.58,460.84
5.66,40.62,1015.87,84.97,485.18
22.2,51.19,1009.2,82.95,445.54
13.12,48.04,1011.93,100.07,463.46
14.05,40.71,1016.36,68.58,465.74
24.85,70.47,1006.64,85.37,434.47
10.54,42.02,997.5,99.77,472.64
21.32,49.02,1008.81,85.81,445.65
26.92,68.27,1008.11,61.73,435.17
17.27,40.55,1000.89,70.66,461.31
8.75,40.22,1008.96,90.53,482.8
18.16,43.72,1008.64,75.22,454.98
25.54,70.47,1009.28,73.5,436.16
19.98,60.77,1017.72,90.71,448.46
23.97,64.33,1010.54,84.65,443.87
15.33,52.05,1014.15,80.56,452.82
23.66,72.43,1008,89.49,439.02
28.33,68.14,1004.63,71.21,431.27
28.44,69.4,1003.98,73.51,433.44
3.4,39.64,1011.1,83.43,459.86
21.58,63.87,1015.27,63.15,451.88
7.85,37.8,1020.9,59.19,478.68
7.09,39.37,1020.07,73.26,487
10.82,37.5,1009.23,96.62,473.9
5.91,39.33,1010.18,95.53,491.49
18.99,44.58,1018.29,54.71,468.35
13.32,38.73,1005.37,88.48,472.33
11.42,41.38,1021.98,60.19,479.23
28.85,57.19,1008.2,58.4,436.8
27.25,73.03,1014.15,68.52,439.78
10.03,40.96,1024.57,91.1,478.79
21.94,64.15,1021.2,61.75,453.3
21.44,62.96,1020.27,79.85,450.57
16.39,41.67,1012.96,61.07,467.68
30.65,71.06,1008.61,76.76,432.08
10.35,40.27,1005.09,92.42,477.8
18.75,41.1,1001.97,59.6,458.31
32.86,68.51,1008.43,46.78,432.38
25.83,70.47,1006.24,81.83,434.45
5.25,40.07,1019.48,67.7,495.23
8.51,41.26,1023.17,87.79,477.51
22.12,69.71,1009.7,90.22,434.42
26.31,52.09,1013.39,53.59,447.04
12.57,41.66,1009.11,70.74,475.61
12.88,44.34,1016.03,88.51,474.94
24.39,63.77,1013.3,77.53,443.65
33.17,70.4,1004.45,58,430.14
26.74,49.02,1008.18,67.59,438.06
31.67,69.89,1013.88,39.33,426.35
18.22,49.25,1020.33,61.87,454.66
28.28,61.86,1012.07,64.49,439.65
15.62,40.89,1007.01,79.21,466.15
11.77,40.71,1024.55,72.49,477.94
21.08,44.05,1008.13,72.52,449.6
10.45,39.69,1003.92,89.45,472.54
9.41,40.43,1025.68,79.49,492.88
16.2,65.46,1013.97,89.84,451.86
29.23,66.51,1011.11,53.12,439.61
29.17,67.45,1014.1,46.85,435.08
15.54,41.96,1011.78,97.46,467.1
20.61,65.61,1014.91,83.82,449.72
5.6,38.91,1019.31,85.33,491.1
24.17,71.58,1010.16,89.96,436.27
16.4,38.01,1022.2,73.05,463.79
20.27,63.09,1016.6,90.7,446.75
11.63,41.5,1013.6,87.11,477.3
10.72,41.17,1019.68,60.71,479.21
4.59,39.33,1010.85,71.78,494.9
16.21,41.23,995.88,80,463.09
27.08,63.78,1015.04,50.8,447.24
13.56,49.83,1007.01,89.86,466.33
7.16,38.56,1019.17,70.1,486.12
14.43,41.76,1024.02,83.57,467.33
18.67,58.46,1016.73,87.7,447.16
18.13,39.72,1002.75,58.85,455.81
19.55,42.04,1009.99,67.87,466.4
19.45,46.33,1013.39,99.52,452.82
25.56,70.32,1009.07,90.63,433.72
22.79,71.77,1005.75,90.91,435.53
30.08,67.25,1017.57,47.77,432.1
14.27,41.48,1014.83,62.7,458.19
31.38,68.27,1006.79,52.79,426.67
20.12,69.45,1013.23,88.48,442.89
13.5,45.51,1015.33,86.95,469.08
17.37,40.55,1001.19,71.42,460.97
16.44,44,1024.48,76.51,460.33
12.39,44.58,1016.38,84.95,475.37
21.78,47.43,1007.88,66.68,446.79
7.87,41.17,1020.33,77.77,486.2
15.78,41.16,1008.43,80.25,464.85
12.57,39.18,1023.09,77.28,471.87
25.04,70.36,1006.56,75.91,436.47
17.3,47.45,1010.29,87.13,448.79
20.79,68.28,1001.42,76.77,445.83
10.31,44.63,1020.55,88.62,471.78
30.05,66.44,1008.46,76.82,427.55
9.11,40.02,1031.1,83.02,479.03
28.14,65.34,1014.44,46.17,443.11
28.73,68.3,1016.53,55.73,434.15
20.62,48.41,1007.37,87.51,445.4
8.97,36.24,1013.21,90.77,477.89
12.67,48.14,1017.41,83.63,463.68
5.47,40.62,1018.66,83.61,481.56
10.59,41.26,1008.1,98.27,474.76
28.75,57.55,1004.77,57.55,435.33
24.35,66.49,1012.48,62.12,439.15
31.74,67.32,1013.69,36.59,436.17
25.57,59.43,1008.88,61.19,438.9
28.67,69.14,1008.24,72.68,433.79
7.92,39.54,1011.51,84.41,481.44
21.44,50.78,1008.87,87.56,443.3
17.84,61.27,1020.1,70.68,454.57
7.06,41.38,1021.94,83.55,487.71
5.78,45.87,1012.65,88.8,483.27
9.34,38.08,1019.56,67.74,482.06
26.61,69.13,1002.05,51.97,430.17
6.91,37.49,1011.05,82.07,481.88
16.73,58.59,1015.02,89.61,455.3
26.03,69.68,1011.61,60.75,449.54
21.98,55.5,1017.89,57.9,457.29
11.17,40.27,1009.54,74.56,476.18
26.44,69.34,1009.55,73.18,440.43
21.49,56.9,1007.47,66.66,452.46
22.61,50.32,1008.41,79.4,444.74
9.87,41.82,1033.04,68.57,475.58
21.4,44.57,1005.7,73.09,445.09
5.86,40.62,1017.03,85.06,480.71
29.01,66.44,1011.21,71.56,430.61
8.52,41.55,1002.09,86.81,483.63
31.02,69.51,1011.16,47.64,431.15
17.7,38.52,1020.15,69.8,455.5
13.22,44.92,1023.84,87.99,471.43
15.3,38.62,1017.19,70.63,462.65
23.2,61.02,1009.63,79.45,443.23
9.93,41.62,1013.76,96.02,464.64
7.14,44.71,1019.98,71.9,487.71
24.5,60.77,1017.15,73.66,439.91
12.69,40.71,1021.62,80.19,477.14
19.3,46.93,1014.83,66.71,456.62
23.63,60.93,1006.41,83.06,439.9
27.97,58.84,1002.25,57.88,446.11
24.31,66.49,1011.38,54.35,440.79
21.53,59.8,1016.46,74.72,454.99
26.68,62.91,1012.33,60.78,441.04
13.48,40.73,1017.59,94.81,463.6
